Id,Birth date,Confession,Health status,Martial status,Child age,Child gender,Invalid child,Reports,Photo rights,Статус,Created at,Russian citizenship,Education
627,6 октября 1982,Христианство,отлично,Гражданский брак,12,Женский,TRUE,TRUE,TRUE,new,"июля 19, 2017 06:54",TRUE,Общеобразовательная школа
628,23 декабря 1985,Атеизм,хорошо,Не женат (не замужем),18,Мужской,TRUE,TRUE,FALSE,new,"июля 19, 2017 14:17",TRUE,"Университет, Институт, техникум"
629,23 февраля 1986,Православие,отлично,Не женат (не замужем),12,Женский,FALSE,TRUE,TRUE,new,"июля 19, 2017 15:21",TRUE,"Университет, Институт, техникум"
630,11 июля 1980,православие,хорошо,Женат (замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 20, 2017 07:13",TRUE,"Университет, Институт, техникум"
631,30 апреля 1999,Атеизм,отлично,Не женат (не замужем),8,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 20, 2017 07:31",TRUE,"Университет, Институт, техникум"
632,2 января 1994,Атеизм,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 20, 2017 10:16",TRUE,"Университет, Институт, техникум"
633,2 декабря 1980,Нет,хорошо,Женат (замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 20, 2017 15:30",TRUE,"Университет, Институт, техникум"
634,26 апреля 1995,Буддизм,отлично,Не женат (не замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 21, 2017 05:38",TRUE,Общеобразовательная школа
635,29 октября 1990,Агностик,хорошо,Не женат (не замужем),15,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 21, 2017 05:48",TRUE,"Университет, Институт, техникум"
636,5 января 1991,Православие,отлично,Не женат (не замужем),18-Dec,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 21, 2017 10:09",TRUE,"Университет, Институт, техникум"
637,26 июля 1995,Протестанизм,отлично,Не женат (не замужем),14,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 21, 2017 16:49",TRUE,"Университет, Институт, техникум"
638,30 апреля 1985,Православие,отлично,Не женат (не замужем),16,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 22, 2017 02:31",TRUE,"Университет, Институт, техникум"
639,27 января 1982,Православие,отлично,Женат (замужем),12,Женский,TRUE,TRUE,TRUE,new,"июля 22, 2017 14:01",TRUE,"Университет, Институт, техникум"
640,16 декабря 1977,Православие,отлично,Женат (замужем),5,Женский,FALSE,TRUE,TRUE,new,"июля 22, 2017 16:42",TRUE,"Университет, Институт, техникум"
641,18 июня 1981,православие,хорошо,Не женат (не замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 23, 2017 00:33",TRUE,"Университет, Институт, техникум"
642,30 июля 1991,Православие,отлично,Не женат (не замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 23, 2017 02:05",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
643,16 января 1978,Православие,хорошо,Разведён (разведена),12,Не имеет значения,FALSE,FALSE,TRUE,new,"июля 23, 2017 02:24",TRUE,"Университет, Институт, техникум"
644,1 ноября 1984,Верю,отлично,Женат (замужем),14,Мужской,TRUE,TRUE,TRUE,new,"июля 23, 2017 14:57",TRUE,"Дополнительные курсы, тренинги, семинары"
645,1 ноября 1984,Верю,отлично,Женат (замужем),14,Мужской,TRUE,TRUE,TRUE,new,"июля 23, 2017 15:18",TRUE, - 
646,27 октября 1997,Православие,отлично,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"июля 24, 2017 06:18",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
647,23 января 1996,Протестанизм,хорошо,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 24, 2017 06:55",TRUE,"Университет, Институт, техникум"
648,9 февраля 1985,Христианство ,отлично,Не женат (не замужем),13,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 24, 2017 07:32",TRUE,"Университет, Институт, техникум"
649,7 августа 1991,Православие,отлично,Гражданский брак,15,Женский,TRUE,TRUE,TRUE,new,"июля 24, 2017 10:52",TRUE,"Университет, Институт, техникум"
650,4 мая 1980,Атеизм,хорошо,Не женат (не замужем),12,Мужской,FALSE,TRUE,TRUE,approved,"июля 24, 2017 13:04",TRUE,"Университет, Институт, техникум"
651,25 июня 1990,Атеизм,средне,Женат (замужем),16,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 25, 2017 19:09",TRUE,"Университет, Институт, техникум"
652,6 сентября 1987,Православие,отлично,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"июля 26, 2017 09:52",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
653,17 сентября 1994,Православие,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 26, 2017 12:26",TRUE," - ,Университет, Институт, техникум"
654,4 февраля 1991,Христианство,хорошо,Не женат (не замужем),12,Женский,FALSE,TRUE,TRUE,new,"июля 26, 2017 15:04",TRUE,"Университет, Институт, техникум"
655,2 сентября 1988,Православие,хорошо,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,FALSE,approved,"июля 27, 2017 11:21",TRUE,"Университет, Институт, техникум"
656,4 декабря 1983,Христианство,хорошо,Не женат (не замужем),13,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 28, 2017 03:40",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум,Университет, Институт, техникум,Университет, Институт, техникум"
657,1 сентября 1986,Христианство ,отлично,Женат (замужем),12,Не имеет значения,FALSE,TRUE,TRUE,approved,"июля 28, 2017 04:49",TRUE,"Университет, Институт, техникум"
658,30 сентября 1995,Православие,отлично,Не женат (не замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 28, 2017 09:04",TRUE,"Университет, Институт, техникум"
659,20 декабря 1982,Православие,отлично,Разведён (разведена),12,Не имеет значения,FALSE,TRUE,TRUE,approved,"июля 28, 2017 13:52",TRUE,"Университет, Институт, техникум"
660,28 ноября 1985,Христианство,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 29, 2017 02:10",TRUE,"Университет, Институт, техникум"
661,1 декабря 1969,Православие,хорошо,Разведён (разведена),12,Женский,FALSE,TRUE,TRUE,new,"июля 29, 2017 08:15",TRUE,"Университет, Институт, техникум"
662,12 декабря 1997,Православие,отлично,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"июля 29, 2017 12:10",TRUE,"Университет, Институт, техникум"
663,30 июля 1968,Православие,средне,Разведён (разведена),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 29, 2017 15:06",TRUE,"Университет, Институт, техникум"
664,18 февраля 1987,Атеизм,хорошо,Не женат (не замужем),14,Не имеет значения,FALSE,FALSE,FALSE,new,"июля 29, 2017 15:09",TRUE,"Университет, Институт, техникум"
665,3 апреля 1991,Православие,хорошо,Гражданский брак,15,Женский,FALSE,TRUE,TRUE,new,"июля 30, 2017 11:22",TRUE,"Университет, Институт, техникум"
666,4 марта 1985,Славянство,отлично,Женат (замужем),17,Мужской,FALSE,TRUE,TRUE,new,"июля 31, 2017 05:44",TRUE,"Университет, Институт, техникум"
667,26 июля 1987,Христианство ,отлично,Гражданский брак,13,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 31, 2017 13:18",TRUE,"Университет, Институт, техникум"
668,16 ноября 1986,православие,хорошо,Женат (замужем),12,Не имеет значения,TRUE,TRUE,FALSE,new,"августа 01, 2017 03:11",TRUE,"Университет, Институт, техникум"
669,12 января 1990,буддизм ,отлично,Женат (замужем),15,Не имеет значения,TRUE,TRUE,TRUE,new,"августа 01, 2017 15:30",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
